Outcome             	BEST
Average SAE         	1855.923764156897
Median SAE          	136.03652401294164
MSE                 	1117.6151224207629
MAE                 	25.326143908743465
Acc@100             	47.25366666666667
Acc@161             	51.409000000000006
Average CAE         	1898.1937180477119
Median CAE          	189.36825804431618
Average 95% PRA     	99.38303170048808
Median 95% PRA      	3.478817313221037
PRA COVerage        	0.08412
Outcome             	ALL 50
Average SAE         	1855.9443449215396
Median SAE          	136.6271873705624
MSE                 	1117.4904022529818
MAE                 	12.66304185335675
Acc@100             	47.215
Acc@161             	51.39833333333333
Average CAE         	1904.9692293352764
Median CAE          	214.7305412802197
Average 95% PRA     	27.77954768432691
Median 95% PRA      	14.017333622246433
PRA COVerage        	0.012973666666666666
