Outcome             	BEST
Average SAE         	556.596930407323
Median SAE          	29.012107235794964
MSE                 	310.7896756651852
MAE                 	7.625280180899602
Acc@100             	73.92433333333334
Acc@161             	78.97833333333332
Average CAE         	592.3338335828001
Median CAE          	60.74781081627437
Average 95% PRA     	23.17149074608845
Median 95% PRA      	3.0816176045918335
PRA COVerage        	0.12573333333333334
Outcome             	ALL 50
Average SAE         	556.8729892447342
Median SAE          	29.349274534387682
MSE                 	310.8038665670043
MAE                 	3.814452796575479
Acc@100             	73.88366666666667
Acc@161             	78.94566666666667
Average CAE         	604.414241057673
Median CAE          	77.04904126035898
Average 95% PRA     	14.734713213583234
Median 95% PRA      	9.532355912466208
PRA COVerage        	0.020491866666666667
