Outcome             	BEST
Average SAE         	1859.6971406684952
Median SAE          	142.77144003340806
MSE                 	1141.0929485863185
MAE                 	25.480128561718153
Acc@100             	46.49333333333333
Acc@161             	51.11866666666667
Outcome             	ALL 3
Average SAE         	1859.696318863178
Median SAE          	142.77144269260805
MSE                 	1141.0931166967357
MAE                 	12.740060355875377
Acc@100             	46.49333333333333
Acc@161             	51.117999999999995
