Outcome             	BEST
Average SAE         	1587.7103717657617
Median SAE          	49.43012531452397
MSE                 	1071.5542114028951
MAE                 	21.942927961935947
Acc@100             	57.03366666666667
Acc@161             	60.70166666666667
Average CAE         	1627.8312262807785
Median CAE          	77.75976669138876
Average 95% PRA     	73.95988109756931
Median 95% PRA      	3.238094487707059
PRA COVerage        	0.12459666666666666
Outcome             	ALL 5
Average SAE         	1587.5032657173201
Median SAE          	49.839323052728304
MSE                 	1071.209588332399
MAE                 	10.97015378954644
Acc@100             	56.985
Acc@161             	60.668666666666674
Average CAE         	1635.872835341197
Median CAE          	105.6462485079305
Average 95% PRA     	23.616667714973637
Median 95% PRA      	11.601910217762153
PRA COVerage        	0.18414266666666668
