Outcome             	BEST
Average SAE         	568.2775034320997
Median SAE          	32.0780867576
MSE                 	334.60555609377246
MAE                 	7.819104565829121
Acc@100             	72.53866666666666
Acc@161             	78.28633333333333
Average CAE         	639.2131073260726
Median CAE          	70.40403356928135
Average 95% PRA     	60.94092486527804
Median 95% PRA      	3.705517191563791
PRA COVerage        	0.19613666666666665
