Outcome             	BEST
Average SAE         	568.6000967458361
Median SAE          	27.83860357461102
MSE                 	315.35875458483565
MAE                 	7.766317411950378
Acc@100             	73.52233333333334
Acc@161             	78.60233333333333
Average CAE         	608.2586993647415
Median CAE          	61.20042899812903
Average 95% PRA     	36.75226019373327
Median 95% PRA      	3.1656213706865604
PRA COVerage        	0.20137333333333332
Outcome             	ALL 100
Average SAE         	568.9086226979437
Median SAE          	28.136057359410167
MSE                 	315.3168704794486
MAE                 	3.884708725501805
Acc@100             	73.476
Acc@161             	78.58766666666666
Average CAE         	618.2874970100345
Median CAE          	71.06793525191361
Average 95% PRA     	15.226239472174859
Median 95% PRA      	9.142879964102544
PRA COVerage        	0.011941366666666666
