Outcome             	BEST
Average SAE         	1881.1270131620297
Median SAE          	149.12695451305
MSE                 	1135.7307776956497
MAE                 	25.583227937114227
Acc@100             	46.605999999999995
Acc@161             	50.644
Average CAE         	1939.090633727154
Median CAE          	199.66859359431743
Average 95% PRA     	193.15558184238012
Median 95% PRA      	4.445754656123253
PRA COVerage        	0.13863666666666666
Outcome             	ALL 100
Average SAE         	1882.4342208517496
Median SAE          	149.79454355771463
MSE                 	1137.260548701505
MAE                 	12.797386544848854
Acc@100             	46.55233333333334
Acc@161             	50.61766666666667
Average CAE         	1942.8327829215752
Median CAE          	224.19472848188917
Average 95% PRA     	31.19339623431975
Median 95% PRA      	12.272656917861283
PRA COVerage        	0.0085576
