Outcome             	BEST
Average SAE         	880.2045442181371
Median SAE          	24.089552026815696
MSE                 	1043.625869290649
MAE                 	14.203196909385907
Acc@100             	76.47033333333333
Acc@161             	80.278
Average CAE         	915.5020383759471
Median CAE          	58.556179799350836
Average 95% PRA     	22.806675555306633
Median 95% PRA      	3.051213891111107
PRA COVerage        	0.15504
Outcome             	ALL 5
Average SAE         	880.4064974262934
Median SAE          	24.553067239616468
MSE                 	1043.5267443249566
MAE                 	7.102857868789059
Acc@100             	76.43100000000001
Acc@161             	80.26666666666667
Average CAE         	926.048857600671
Median CAE          	72.42235829900109
Average 95% PRA     	14.245569049022276
Median 95% PRA      	9.008763377993043
PRA COVerage        	0.23922133333333334
