Outcome             	BEST
Average SAE         	802.0893183793827
Median SAE          	24.974492747904417
MSE                 	151.58256803467805
MAE                 	9.968539887598322
Acc@100             	61.97266666666666
Acc@161             	63.995999999999995
Average CAE         	836.093719699225
Median CAE          	57.03076756833259
Average 95% PRA     	49.5394874676072
Median 95% PRA      	2.9997513563907243
PRA COVerage        	0.30149333333333334
Outcome             	ALL 5
Average SAE         	802.0893183927425
Median SAE          	24.974492747940083
MSE                 	151.58256804297062
MAE                 	4.984269943866374
Acc@100             	61.97266666666666
Acc@161             	63.995999999999995
Average CAE         	836.0937366044021
Median CAE          	57.07486283490132
Average 95% PRA     	20.88662783493309
Median 95% PRA      	7.513931392525943
PRA COVerage        	0.16537466666666667
