Outcome             	BEST
Average SAE         	577.751999736082
Median SAE          	35.62144710244375
MSE                 	341.1656133959407
MAE                 	7.96456962776988
Acc@100             	72.74166666666667
Acc@161             	78.59766666666667
Outcome             	ALL 5
Average SAE         	577.8066991457856
Median SAE          	35.62152013386192
MSE                 	341.24395821142076
MAE                 	3.9826415725575184
Acc@100             	72.74166666666667
Acc@161             	78.59766666666667
